Date,Product,Category,Quantity,Price,Total
2024-01-01,Laptop,Electronics,5,1200.00,6000.00
2024-01-02,Mouse,Accessories,20,25.50,510.00
2024-01-03,Keyboard,Accessories,15,89.99,1349.85
2024-01-04,Monitor,Electronics,8,350.00,2800.00
2024-01-05,USB Cable,Accessories,50,12.99,649.50
2024-01-06,Webcam,Electronics,12,75.00,900.00
2024-01-07,Headphones,Audio,10,120.00,1200.00
2024-01-08,Microphone,Audio,6,180.00,1080.00
2024-01-09,HDMI Cable,Accessories,30,15.99,479.70
2024-01-10,Graphics Card,Electronics,3,800.00,2400.00
